scriptDesc	[msdescription] Manuscript Description
seal	[msdescription] Manuscript Description
sealDesc	[msdescription] Manuscript Description
secFol	[msdescription] Manuscript Description
signatures	[msdescription] Manuscript Description
source	[msdescription] Manuscript Description
stamp	[msdescription] Manuscript Description
summary	[msdescription] Manuscript Description
support	[msdescription] Manuscript Description
supportDesc	[msdescription] Manuscript Description
surrogates	[msdescription] Manuscript Description
typeDesc	[msdescription] Manuscript Description
typeNote	[msdescription] Manuscript Description
watermark	[msdescription] Manuscript Description
width	[msdescription] Manuscript Description
addName	[namesdates] Names and dates
affiliation	[namesdates] Names and dates
age	[namesdates] Names and dates
birth	[namesdates] Names and dates
bloc	[namesdates] Names and dates
climate	[namesdates] Names and dates
country	[namesdates] Names and dates
death	[namesdates] Names and dates
district	[namesdates] Names and dates
education	[namesdates] Names and dates
event	[namesdates] Names and dates
faith	[namesdates] Names and dates
floruit	[namesdates] Names and dates
forename	[namesdates] Names and dates
genName	[namesdates] Names and dates
geo	[namesdates] Names and dates
geogFeat	[namesdates] Names and dates
geogName	[namesdates] Names and dates
langKnowledge	[namesdates] Names and dates
langKnown	[namesdates] Names and dates
listEvent	[namesdates] Names and dates
listNym	[namesdates] Names and dates
listObject	[namesdates] Names and dates
listOrg	[namesdates] Names and dates
listPerson	[namesdates] Names and dates
listPlace	[namesdates] Names and dates
listRelation	[namesdates] Names and dates
location	[namesdates] Names and dates
nameLink	[namesdates] Names and dates
nationality	[namesdates] Names and dates
nym	[namesdates] Names and dates
object	[namesdates] Names and dates
objectIdentifier	[namesdates] Names and dates
objectName	[namesdates] Names and dates
occupation	[namesdates] Names and dates
offset	[namesdates] Names and dates
org	[namesdates] Names and dates
orgName	[namesdates] Names and dates
persName	[namesdates] Names and dates
person	[namesdates] Names and dates
personGrp	[namesdates] Names and dates
persona	[namesdates] Names and dates
place	[namesdates] Names and dates
placeName	[namesdates] Names and dates
population	[namesdates] Names and dates
region	[namesdates] Names and dates
relation	[namesdates] Names and dates
residence	[namesdates] Names and dates
roleName	[namesdates] Names and dates
settlement	[namesdates] Names and dates
sex	[namesdates] Names and dates
socecStatus	[namesdates] Names and dates
state	[namesdates] Names and dates
surname	[namesdates] Names and dates
terrain	[namesdates] Names and dates
trait	[namesdates] Names and dates
arc	[nets] Graphs, networks, and trees
eLeaf	[nets] Graphs, networks, and trees
eTree	[nets] Graphs, networks, and trees
forest	[nets] Graphs, networks, and trees
graph	[nets] Graphs, networks, and trees
iNode	[nets] Graphs, networks, and trees
leaf	[nets] Graphs, networks, and trees
listForest	[nets] Graphs, networks, and trees
node	[nets] Graphs, networks, and trees
root	[nets] Graphs, networks, and trees
tree	[nets] Graphs, networks, and trees
triangle	[nets] Graphs, networks, and trees
annotationBlock	[spoken] Transcribed Speech
broadcast	[spoken] Transcribed Speech
equipment	[spoken] Transcribed Speech
incident	[spoken] Transcribed Speech
kinesic	[spoken] Transcribed Speech
pause	[spoken] Transcribed Speech
recording	[spoken] Transcribed Speech
recordingStmt	[spoken] Transcribed Speech
scriptStmt	[spoken] Transcribed Speech
shift	[spoken] Transcribed Speech
transcriptionDesc	[spoken] Transcribed Speech
u	[spoken] Transcribed Speech
vocal	[spoken] Transcribed Speech
writing	[spoken] Transcribed Speech
altIdent	[tagdocs] Documentation of TEI modules
alternate	[tagdocs] Documentation of TEI modules
anyElement	[tagdocs] Documentation of TEI modules
att	[tagdocs] Documentation of TEI modules
attDef	[tagdocs] Documentation of TEI modules
attList	[tagdocs] Documentation of TEI modules
attRef	[tagdocs] Documentation of TEI modules
classRef	[tagdocs] Documentation of TEI modules
classSpec	[tagdocs] Documentation of TEI modules
classes	[tagdocs] Documentation of TEI modules
code	[tagdocs] Documentation of TEI modules
constraint	[tagdocs] Documentation of TEI modules
constraintSpec	[tagdocs] Documentation of TEI modules
content	[tagdocs] Documentation of TEI modules
dataFacet	[tagdocs] Documentation of TEI modules
dataRef	[tagdocs] Documentation of TEI modules
dataSpec	[tagdocs] Documentation of TEI modules
datatype	[tagdocs] Documentation of TEI modules
defaultVal	[tagdocs] Documentation of TEI modules
eg	[tagdocs] Documentation of TEI modules
egXML	[tagdocs] Documentation of TEI modules
elementRef	[tagdocs] Documentation of TEI modules
elementSpec	[tagdocs] Documentation of TEI modules
empty	[tagdocs] Documentation of TEI modules
equiv	[tagdocs] Documentation of TEI modules
exemplum	[tagdocs] Documentation of TEI modules
gi	[tagdocs] Documentation of TEI modules
ident	[tagdocs] Documentation of TEI modules
listRef	[tagdocs] Documentation of TEI modules
macroRef	[tagdocs] Documentation of TEI modules
macroSpec	[tagdocs] Documentation of TEI modules
memberOf	[tagdocs] Documentation of TEI modules
model	[tagdocs] Documentation of TEI modules
modelGrp	[tagdocs] Documentation of TEI modules
modelSequence	[tagdocs] Documentation of TEI modules
moduleRef	[tagdocs] Documentation of TEI modules
moduleSpec	[tagdocs] Documentation of TEI modules
outputRendition	[tagdocs] Documentation of TEI modules
param	[tagdocs] Documentation of TEI modules
paramList	[tagdocs] Documentation of TEI modules
paramSpec	[tagdocs] Documentation of TEI modules
remarks	[tagdocs] Documentation of TEI modules
schemaSpec	[tagdocs] Documentation of TEI modules
sequence	[tagdocs] Documentation of TEI modules
specDesc	[tagdocs] Documentation of TEI modules
specGrp	[tagdocs] Documentation of TEI modules
specGrpRef	[tagdocs] Documentation of TEI modules
specList	[tagdocs] Documentation of TEI modules
tag	[tagdocs] Documentation of TEI modules
textNode	[tagdocs] Documentation of TEI modules
val	[tagdocs] Documentation of TEI modules
valDesc	[tagdocs] Documentation of TEI modules
valItem	[tagdocs] Documentation of TEI modules
valList	[tagdocs] Documentation of TEI modules
app	[textcrit] Critical Apparatus
lacunaEnd	[textcrit] Critical Apparatus
lacunaStart	[textcrit] Critical Apparatus
lem	[textcrit] Critical Apparatus
listApp	[textcrit] Critical Apparatus
listWit	[textcrit] Critical Apparatus
rdg	[textcrit] Critical Apparatus
rdgGrp	[textcrit] Critical Apparatus
variantEncoding	[textcrit] Critical Apparatus
wit	[textcrit] Critical Apparatus
witDetail	[textcrit] Critical Apparatus
witEnd	[textcrit] Critical Apparatus
witStart	[textcrit] Critical Apparatus
witness	[textcrit] Critical Apparatus
TEI	[textstructure] Default text structure
argument	[textstructure] Default text structure
back	[textstructure] Default text structure
body	[textstructure] Default text structure
byline	[textstructure] Default text structure
closer	[textstructure] Default text structure
dateline	[textstructure] Default text structure
div	[textstructure] Default text structure
div1	[textstructure] Default text structure
div2	[textstructure] Default text structure
div3	[textstructure] Default text structure
div4	[textstructure] Default text structure
div5	[textstructure] Default text structure
div6	[textstructure] Default text structure
div7	[textstructure] Default text structure
docAuthor	[textstructure] Default text structure
docDate	[textstructure] Default text structure
docEdition	[textstructure] Default text structure
docImprint	[textstructure] Default text structure
docTitle	[textstructure] Default text structure
epigraph	[textstructure] Default text structure
floatingText	[textstructure] Default text structure
front	[textstructure] Default text structure
group	[textstructure] Default text structure
imprimatur	[textstructure] Default text structure
opener	[textstructure] Default text structure
postscript	[textstructure] Default text structure
